wvln_2,SPA_ag,SPB_ag,SPC_ag,SPD_ag,SPE_ag,SPF_ag,SPH_ag,SPI_ag,SPJ_ag,srfa_ag,,out,in
377,0.012330761,0.011172826,0.010236878,0.021207242,0.022234499,0.010120509,0.193038159,0.16514762,0.142196441,0.20214292,,0.011246822,0.166794074
378,0.011884884,0.010727923,0.009870415,0.019929763,0.020904212,0.009586688,0.187902445,0.161698242,0.139313585,0.198550327,,0.010827741,0.162971424
379,0.011510705,0.010382901,0.009555458,0.018657979,0.019537822,0.009122498,0.18294529,0.158261342,0.136492893,0.194796326,,0.010483021,0.159233175
380,0.011061433,0.009975198,0.00918069,0.017410928,0.018158909,0.008595039,0.177997497,0.154905423,0.133670943,0.1913626,,0.01007244,0.155524621
381,0.010532919,0.009503291,0.008769899,0.016236023,0.016815265,0.008015277,0.173079259,0.151695423,0.130877538,0.1882994,,0.009602036,0.151884073
382,0.010116054,0.009181534,0.008528074,0.015217617,0.015583091,0.007585824,0.168468316,0.148683175,0.128267046,0.185080485,,0.009275221,0.148472846
383,0.009883447,0.009068111,0.008505346,0.014346208,0.014479081,0.007367705,0.164251844,0.145840157,0.125892024,0.181530005,,0.009152301,0.145328008
384,0.009649074,0.008884579,0.008428616,0.013428648,0.013401741,0.00711841,0.160108353,0.142988008,0.123593443,0.178233402,,0.008987423,0.142229934
385,0.009287799,0.008461193,0.008124531,0.012370078,0.012300549,0.0066827,0.155841742,0.140034397,0.121249606,0.175602926,,0.008624507,0.139041915
386,0.008940349,0.008056754,0.007821063,0.011421045,0.011321064,0.006258847,0.151766092,0.137201286,0.118917774,0.173275365,,0.008272722,0.135961718
387,0.008747808,0.007921191,0.007742309,0.010811202,0.010597899,0.006047639,0.148182676,0.134694571,0.116682403,0.170797605,,0.008137103,0.13318655
388,0.008640509,0.007908429,0.007759845,0.010382617,0.01005713,0.005961394,0.144920377,0.132388195,0.114596372,0.167983015,,0.008102927,0.130634981
389,0.008500751,0.007787911,0.007671648,0.009894578,0.009566795,0.005841818,0.141706859,0.130084538,0.11268024,0.164782782,,0.00798677,0.128157212
390,0.008267793,0.007504832,0.007446478,0.009281314,0.00899002,0.005600986,0.138487248,0.1277218,0.110774512,0.161635048,,0.007739701,0.125661187
391,0.007919314,0.007089903,0.007133261,0.008565366,0.008214444,0.005197344,0.135312198,0.125309367,0.108678982,0.159101958,,0.007380826,0.123100182
392,0.007581833,0.006720303,0.006885396,0.007940296,0.007433588,0.004792953,0.132373328,0.122995981,0.106572565,0.156883726,,0.007062511,0.120647291
393,0.007459338,0.006644268,0.00690268,0.007686044,0.00701163,0.004661113,0.12993089,0.121001336,0.104852122,0.154173981,,0.007002095,0.118594783
394,0.007465735,0.006738269,0.007058337,0.007670577,0.006868078,0.004708624,0.127810713,0.119199079,0.103421768,0.15104243,,0.007087447,0.11681052
395,0.007254715,0.006547494,0.00693253,0.007394504,0.006521539,0.004516267,0.125449409,0.11715642,0.101745625,0.148369969,,0.006911579,0.114783818
396,0.006805853,0.006026859,0.006492389,0.006791153,0.005909924,0.004046229,0.122766177,0.11483236,0.099713334,0.146417401,,0.0064417,0.112437291
397,0.006550679,0.005696843,0.006239247,0.006397132,0.005555864,0.003795627,0.120348544,0.112732551,0.097813668,0.144589586,,0.006162256,0.110298254
398,0.006674069,0.005799459,0.006406534,0.006456612,0.005684339,0.003981048,0.118490362,0.111115229,0.096320854,0.142508677,,0.006293354,0.108642148
399,0.006811703,0.00594648,0.00661863,0.006557873,0.005854796,0.004192725,0.116816649,0.109678853,0.095008499,0.140350329,,0.006458938,0.107168
400,0.006672302,0.005824371,0.006576167,0.006378109,0.005712822,0.004112747,0.115005039,0.108138365,0.09364938,0.138273266,,0.006357613,0.105597595
401,0.006372654,0.005559901,0.006411811,0.006089086,0.005395798,0.003912345,0.113126154,0.106454818,0.092192857,0.136243026,,0.006114789,0.10392461
402,0.0060795,0.005324064,0.006291031,0.005891517,0.005095575,0.003792031,0.111291331,0.104653818,0.090635093,0.134170623,,0.005898198,0.102193414
403,0.00584472,0.005123731,0.006168471,0.005729409,0.004861784,0.003685139,0.109479042,0.102860605,0.089046839,0.131982321,,0.005712307,0.100462162
404,0.005682275,0.0049236,0.005961112,0.005493339,0.004694063,0.003475161,0.107642405,0.101200516,0.087515342,0.129634684,,0.005522329,0.098786088
405,0.005566522,0.004726602,0.005748462,0.005247025,0.004532798,0.00324061,0.105839484,0.099621831,0.086086541,0.127319839,,0.005347195,0.097182619
406,0.005458202,0.004549991,0.005662451,0.005114227,0.004305861,0.003127575,0.104162567,0.098009263,0.084784295,0.125309733,,0.005223548,0.095652042
407,0.00534081,0.004404375,0.00564856,0.005065508,0.00406275,0.003102101,0.102570481,0.096380597,0.083543268,0.123545221,,0.005131249,0.094164782
408,0.00521218,0.004291143,0.005538682,0.004976277,0.003921013,0.003020633,0.100943206,0.094832889,0.082248523,0.121777452,,0.005014002,0.092674872
409,0.005064174,0.0041735,0.00533518,0.004820747,0.003855559,0.002851266,0.099276988,0.093368503,0.080881551,0.119901564,,0.004857618,0.091175681
410,0.004881144,0.003976426,0.00519283,0.00466029,0.003708579,0.002664844,0.097674865,0.091904311,0.079514563,0.117939449,,0.004683467,0.089697913
411,0.004649252,0.003690096,0.005138392,0.004498076,0.003435668,0.002490565,0.096159103,0.090407047,0.078188912,0.11597169,,0.00449258,0.088251687
412,0.004361369,0.003393174,0.005022798,0.00425627,0.003150758,0.002299737,0.094640909,0.088923809,0.076905075,0.114137738,,0.004259114,0.086823264
413,0.004071191,0.003172738,0.004809578,0.003949223,0.002957466,0.002111335,0.09310952,0.087521753,0.075681806,0.112494286,,0.004017836,0.085437693
414,0.003959394,0.003121347,0.004709803,0.003785062,0.002916765,0.002052812,0.091720985,0.086303073,0.074584998,0.110927144,,0.003930181,0.084203019
415,0.004099644,0.003242411,0.004834772,0.003870525,0.003022383,0.002168536,0.090547474,0.085281283,0.073621573,0.109323516,,0.004058942,0.08315011
416,0.004207841,0.003274443,0.004911263,0.00394146,0.003080666,0.002217199,0.089360831,0.084196622,0.07260569,0.107635273,,0.004131182,0.082054381
417,0.004028792,0.003004699,0.004694369,0.003753246,0.002925396,0.001995956,0.087962964,0.082835256,0.071389499,0.105879341,,0.003909286,0.08072924
418,0.003726099,0.002656214,0.004381728,0.003458818,0.002664722,0.001699311,0.086548208,0.081413107,0.070152689,0.104270431,,0.003588013,0.079371335
419,0.003538397,0.002519966,0.004245586,0.003281847,0.002461897,0.001587055,0.085365241,0.080212245,0.069120284,0.103013316,,0.003434649,0.07823259
