wvln_2,A8_ag,B8_ag,C8_ag,E8_ag,A9_ag,B9_ag,C9_ag,D9_ag,E9_ag,F9_ag,G9_ag,H9_ag,I9_ag,J9_ag,K9_ag,L9_ag,G10_ag,H10_ag,I10_ag,J10_ag,K10_ag,L10_ag,srfa_ag
538,-5.21464428200197e-05,0.00348352011374226,0.00609559198315889,0.0238771335058954,-0.000670485963317157,-0.000348315235359019,0.00528914420522769,0.00512482020238494,0.020460679361529,0.0178060722620354,-0.0018601611378603,-0.00223606249710311,0.00224919175605638,0.00384238864874809,0.0152107835621123,0.0157264647695807,-0.00204148482869227,-0.00198129815830015,0.00499118251702512,0.002569337611145,0.0144953026319928,0.0171168300673734,0.0284187706115521
539,-0.000184240223670799,0.00330594335942788,0.00583687467983737,0.023539997516542,-0.000757155986375362,-0.00047272349371268,0.0050637143321505,0.00490715073825598,0.020033029658122,0.0174000156838313,-0.00194816092236187,-0.00225089853026157,0.00211046098680824,0.00364844179934041,0.014900095755851,0.0152813466357903,-0.00183512082932658,-0.00204882750418,0.00485180590231511,0.0024152147161314,0.0141631008088904,0.0168316126326413,0.0281872878348728
540,-0.000189622150837922,0.00317853907413926,0.00573940343051832,0.0232610415227115,-0.000753457251038852,-0.000454443391095734,0.00492716645447899,0.00479779030592346,0.0197368739712283,0.017140234282309,-0.00194993578406365,-0.00223663592729034,0.00205918275230021,0.00354286819362805,0.0146054155859767,0.0150380500215574,-0.00153854216835512,-0.00202522147949887,0.00480417846413624,0.00235345480361909,0.0139520791003016,0.0166092108309508,0.0283168963259925
541,-9.54462983582816e-05,0.0031216511314438,0.00587965567140175,0.0230520691147363,-0.000685135536402027,-0.000372514964915815,0.00485280491676451,0.00474439771471257,0.0195201097759931,0.0169251268046911,-0.00189601727854978,-0.00216781232328978,0.00206133315263518,0.00348902467347924,0.0142927561926077,0.0148041449914297,-0.00119363052037904,-0.00195498101709256,0.00480205309749621,0.0023360645964593,0.013769335856072,0.016370771760861,0.0288287537448872
542,-9.96784621471597e-05,0.00306056225732479,0.0057060720687945,0.0228003555747426,-0.000660781533249815,-0.000334777264668851,0.00473391813144453,0.00464614535422362,0.0192186405633723,0.0166646020216742,-0.00188900413201683,-0.00214704761017956,0.00201427113017041,0.00338423843266653,0.0140226536604071,0.0148197446801647,-0.000903122188795111,-0.00194087416894255,0.00474264058469048,0.00226023371122441,0.0135408143276171,0.0161421000672509,0.0290192146978357
543,-0.000244261694534762,0.00290696533806553,0.0054390952464156,0.0223908196655184,-0.000789389010333121,-0.000449117246658342,0.00446427936088669,0.00439846670549543,0.0188025034244731,0.0162568604454158,-0.00202835831049681,-0.00227312645085221,0.00181988932515282,0.00313141806614613,0.013858029451032,0.0147442672040772,-0.000762076669228708,-0.00207694447596497,0.00453257468794237,0.00203327321327718,0.0132044735473608,0.0157603938458487,0.0281588640192866
544,-0.000363920326260817,0.00280183756335897,0.00520044605998439,0.0220108875304743,-0.000883713539717987,-0.000528323522127835,0.00423105043508114,0.00418847403975183,0.0184249030273801,0.0158889317491958,-0.00212673988218314,-0.0023583490962083,0.00166624730397469,0.00291916286624952,0.0134754320625876,0.0146547992812227,-0.000580815217469791,-0.00217297346801054,0.00436243369469403,0.00184612120735261,0.0128585544115273,0.0154180304705608,0.0279646903650983
545,-0.000473667204726268,0.00264482589023032,0.00497240244954202,0.0216418211549421,-0.000966218303339594,-0.000595536576152023,0.00401007491424402,0.00399099496249974,0.0180599896744605,0.0155339502806725,-0.00221172355114174,-0.00242998334732869,0.00152638416854024,0.00272097228935855,0.0130863756009745,0.0145797769643899,-0.000384917668181307,-0.00225408062526456,0.0042074050277452,0.00167427201923554,0.0125282238307633,0.0150917318791123,0.027795923641773
546,-0.000565771162387815,0.00246158936993301,0.00476163832895066,0.0212898979826535,-0.00103207958127774,-0.00064619700223097,0.0038055157347448,0.00380979593997821,0.0177112655185334,0.0151950217225341,-0.00228053660764537,-0.00248519299731679,0.00140319962291537,0.00253984128529313,0.0127146327008642,0.0145223221977372,-0.000799891108771017,-0.00231698526064518,0.00407083287134708,0.0015211333303465,0.0122169847322434,0.0147851597416009,0.0276467422675642
547,-0.000666221642274249,0.00231802877195841,0.00454239552942427,0.0209294465726636,-0.00110665081239366,-0.000705600420665229,0.00359216400412394,0.00361975480756878,0.0173536662135408,0.0148471684565641,-0.00235806994206976,-0.00254886893654835,0.00127180277672436,0.00235087896367751,0.012335312471881,0.0144575440908889,-0.00122193390087899,-0.00238657826452813,0.00392782633512393,0.00136181425030971,0.0118999462255916,0.0144734231676511,0.0274905701573801
