wvln_2,T0,T0_sd,Light,Light_sd,Dark,Dark_sd
620,0.31,0.01,0.20,0.01,0.31,0.00
621,0.30,0.01,0.20,0.01,0.31,0.00
622,0.30,0.01,0.20,0.01,0.30,0.00
623,0.30,0.01,0.20,0.01,0.30,0.00
624,0.29,0.01,0.19,0.00,0.30,0.00
625,0.28,0.01,0.19,0.00,0.29,0.00
626,0.27,0.01,0.18,0.00,0.28,0.00
627,0.27,0.01,0.18,0.01,0.27,0.00
628,0.26,0.01,0.17,0.01,0.27,0.00
629,0.26,0.01,0.17,0.00,0.26,0.00
630,0.25,0.01,0.17,0.00,0.26,0.00
631,0.25,0.00,0.17,0.00,0.25,0.00
632,0.24,0.00,0.16,0.00,0.25,0.00
633,0.24,0.00,0.16,0.00,0.24,0.00
634,0.24,0.00,0.16,0.00,0.24,0.00
635,0.23,0.00,0.16,0.00,0.24,0.00
636,0.22,0.00,0.15,0.00,0.23,0.00
637,0.21,0.00,0.15,0.00,0.22,0.00
638,0.21,0.00,0.14,0.00,0.21,0.00
639,0.20,0.00,0.14,0.00,0.21,0.00
640,0.20,0.00,0.13,0.00,0.20,0.00
641,0.19,0.00,0.13,0.00,0.20,0.00
642,0.19,0.00,0.13,0.00,0.20,0.00
643,0.18,0.00,0.13,0.00,0.19,0.00
644,0.18,0.00,0.12,0.00,0.19,0.00
645,0.18,0.00,0.12,0.00,0.18,0.00
646,0.18,0.00,0.12,0.00,0.18,0.00
647,0.17,0.00,0.12,0.00,0.18,0.00
648,0.17,0.00,0.12,0.00,0.17,0.00
649,0.17,0.00,0.12,0.00,0.17,0.00
650,0.17,0.00,0.12,0.00,0.17,0.00
651,0.17,0.00,0.12,0.00,0.17,0.00
652,0.16,0.00,0.11,0.00,0.16,0.00
653,0.15,0.00,0.11,0.00,0.15,0.00
654,0.14,0.00,0.10,0.00,0.15,0.00
655,0.14,0.00,0.10,0.00,0.14,0.00
656,0.14,0.00,0.10,0.00,0.14,0.00
657,0.14,0.00,0.10,0.00,0.14,0.00
658,0.13,0.00,0.09,0.00,0.14,0.00
659,0.13,0.00,0.09,0.00,0.13,0.00
660,0.13,0.00,0.09,0.00,0.13,0.00
661,0.14,0.00,0.09,0.00,0.13,0.00
662,0.14,0.00,0.10,0.00,0.14,0.00
663,0.13,0.00,0.10,0.00,0.13,0.00
664,0.13,0.00,0.09,0.00,0.13,0.00
665,0.12,0.00,0.09,0.00,0.12,0.00
666,0.11,0.00,0.08,0.00,0.11,0.00
667,0.11,0.00,0.07,0.00,0.10,0.00
668,0.10,0.00,0.07,0.00,0.10,0.00
669,0.10,0.00,0.07,0.00,0.10,0.00
670,0.10,0.01,0.07,0.00,0.10,0.00
671,0.09,0.00,0.07,0.00,0.09,0.00
672,0.08,0.00,0.06,0.00,0.08,0.00
673,0.08,0.00,0.05,0.00,0.08,0.00
674,0.08,0.00,0.05,0.00,0.08,0.00
675,0.08,0.00,0.06,0.00,0.08,0.00
676,0.07,0.00,0.05,0.00,0.07,0.00
677,0.07,0.00,0.05,0.00,0.07,0.00
678,0.06,0.00,0.05,0.00,0.07,0.00
679,0.06,0.00,0.05,0.00,0.06,0.00
680,0.05,0.00,0.04,0.00,0.05,0.00
681,0.04,0.00,0.03,0.00,0.05,0.00
682,0.04,0.00,0.03,0.00,0.05,0.00
683,0.04,0.00,0.03,0.00,0.04,0.00
684,0.03,0.00,0.03,0.00,0.04,0.00
685,0.03,0.00,0.03,0.00,0.04,0.00
686,0.03,0.00,0.02,0.00,0.03,0.00
687,0.03,0.00,0.02,0.00,0.03,0.00
688,0.03,0.00,0.03,0.00,0.03,0.00
689,0.03,0.00,0.03,0.00,0.03,0.00
690,0.02,0.00,0.02,0.00,0.03,0.00
691,0.01,0.00,0.01,0.00,0.02,0.00
692,0.01,0.00,0.01,0.00,0.01,0.00
693,0.01,0.00,0.01,0.00,0.01,0.00
694,0.00,0.00,0.01,0.00,0.01,0.00
695,-0.01,0.00,0.00,0.00,0.00,0.00
696,-0.02,0.00,-0.02,0.00,-0.02,0.00
697,-0.02,0.00,-0.02,0.00,-0.02,0.00
698,-0.01,0.00,-0.02,0.00,-0.02,0.00
699,0.00,0.00,-0.01,0.00,-0.01,0.00
700,0.00,0.00,0.00,0.00,0.00,0.00
701,-0.01,0.00,0.00,0.00,-0.01,0.00
702,-0.02,0.00,-0.01,0.00,-0.02,0.00
703,-0.02,0.00,-0.02,0.00,-0.02,0.00
704,-0.02,0.00,-0.02,0.00,-0.02,0.00
705,-0.01,0.00,-0.01,0.00,-0.02,0.00
706,0.00,0.01,-0.01,0.00,-0.01,0.00
707,-0.01,0.01,0.00,0.01,-0.01,0.00
